Name,Rating
201,8
201,7
201,7
201,7
201,9
201,6
201,7
201,9
201,9
201,8
201,6
201,6
201,2
201,8
201,9
201,8
201,6
201,8
201,9
201,6
201,8
201,9
201,7
201,9
201,8
201,8
201,9
201,6
201,7
201,8
201,7
201,7
201,9
201,8
201,8
201,9
201,8
201,9
201,8
201,6
201,9
201,8
201,4
201,9
201,6
201,5
201,8
201,8
201,8
201,6
201,6
201,7
201,6
201,9
201,7
201,8
201,9
201,9
201,9
201,9
201,8
201,8
201,7
201,8
201,6
201,8
201,9
201,9
201,8
201,5
201,9
201,5
201,6
201,8
201,9
201,9
201,8
201,9
201,4
201,7
201,8
201,1
201,5
201,6
201,4
201,9
201,9
201,8
201,8
201,8
201,8
201,8
201,6
201,9
201,5
201,8
201,5
201,9
201,5
201,8
201,9
201,9
201,7
201,9
201,7
201,4
201,5
201,5
201,8
201,8
201,8
201,8
201,6
201,9
201,7
201,3
201,8
201,7
201,8
201,9
201,6
201,8
201,8
201,6
201,7
201,8
201,8
201,5
201,6
201,8
201,9
201,7
201,8
201,5
201,8
201,8
201,5
201,8
201,8
201,5
201,9
201,5
201,7
201,7
201,9
201,7
201,8
201,8
201,7
201,5
201,8
201,9
201,5
201,8
201,2
201,7
201,8
201,9
201,7
201,6
201,4
201,7
201,9
201,8
201,9
201,7
201,7
201,7
201,6
201,1
201,9
201,9
201,8
201,8
201,8
201,9
201,8
201,9
201,4
201,6
201,6
201,5
201,3
201,5
201,5
201,9
201,9
201,7
201,7
201,8
201,9
201,9
201,7
201,9
201,9
201,5
201,7
201,7
201,7
201,6
201,5
201,8
201,8
201,9
201,8
201,7
201,9
201,8
201,8
201,8
201,8
201,8
201,8
201,8
201,6
201,8
201,6
201,6
201,9
201,8
201,5
201,8
201,7
201,8
201,8
201,8
201,6
201,8
201,7
201,8
201,7
201,6
201,8
201,8
201,8
201,9
201,2
201,6
201,7
201,7
201,9
201,8
201,5
201,7
201,2
201,8
201,7
201,8
201,5
201,9
201,7
201,6
201,9
201,9
201,9
201,9
201,5
201,8
201,9
201,6
201,8
201,4
201,8
201,9
201,4
201,9
201,7
201,2
201,9
201,6
201,7
201,9
201,2
201,7
201,9
201,5
201,9
201,8
201,7
201,9
201,6
201,5
201,8
201,9
201,5
201,9
201,1
201,9
201,8
201,1
201,5
201,7
201,8
201,9
201,8
201,7
201,8
201,9
201,7
201,9
201,3
201,9
201,5
201,7
201,7
201,5
201,9
201,8
Signature Rare(582),8
Signature Rare(582),1
Signature Rare(582),7
Signature Rare(582),8
Signature Rare(582),7
Signature Rare(582),7
Signature Rare(582),6
Signature Rare(582),7
Signature Rare(582),8
Signature Rare(582),9
Signature Rare(582),8
Signature Rare(582),7
Signature Rare(582),9
Signature Rare(582),8
Signature Rare(582),5
Signature Rare(582),8
Signature Rare(582),7
Signature Rare(582),8
Signature Rare(582),8
Signature Rare(582),8
Signature Rare(582),7
Signature Rare(582),8
Signature Rare(582),7
Signature Rare(582),8
Signature Rare(582),8
Signature Rare(582),9
Signature Rare(582),7
Signature Rare(582),9
Signature Rare(582),8
Signature Rare(582),8
Signature Rare(582),6
Signature Rare(582),8
Signature Rare(582),8
Signature Rare(582),6
Signature Rare(582),7
Signature Rare(582),8
Signature Rare(582),8
Signature Rare(582),8
Signature Rare(582),9
Signature Rare(582),7
Signature Rare(582),8
Signature Rare(582),8
Signature Rare(582),9
Signature Rare(582),6
Signature Rare(582),6
Signature Rare(582),8
Signature Rare(582),8
Signature Rare(582),9
Signature Rare(582),9
Signature Rare(582),7
Signature Rare(582),9
Signature Rare(582),7
Signature Rare(582),8
